Section,Table/Figure,Title,Period,Country,Age_group,Breakdown/Measure,Data_type,Value,Value_Denominator,Value_Numerator
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2020-21,England and Wales,60-79,Total,Percentage,100,1694835,1694835
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,60-79,Most deprived,Percentage,22.3,1732005,386420
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,60-79,2nd most deprived,Percentage,21.9,1732005,378445
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,60-79,3rd most deprived,Percentage,20.8,1732005,361035
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,60-79,2nd least deprived,Percentage,19,1732005,329500
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,60-79,Least deprived,Percentage,15.4,1732005,267170
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,60-79,Unknown,Percentage,0.5,1732005,9435
Characteristics and trends,Figure 4,Percentage of people with type 2 diabetes by age group and deprivation quintile,2021-22,England and Wales,60-79,Total,Percentage,100,1732005,1732005
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2017-18,England and Wales,19-25,Underweight,Percentage,0.8,6110,50
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2017-18,England and Wales,19-25,Healthy weight,Percentage,9.5,6110,580
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2017-18,England and Wales,19-25,Overweight,Percentage,16.4,6110,1000
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2017-18,England and Wales,19-25,Obese,Percentage,73.4,6110,4485
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2017-18,England and Wales,19-25,Total,Percentage,100,6110,6110
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2018-19,England and Wales,19-25,Underweight,Percentage,1.2,6615,80
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2018-19,England and Wales,19-25,Healthy weight,Percentage,10.1,6615,670
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2018-19,England and Wales,19-25,Overweight,Percentage,16,6615,1060
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2018-19,England and Wales,19-25,Obese,Percentage,72.6,6615,4805
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2018-19,England and Wales,19-25,Total,Percentage,100,6615,6615
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2019-20,England and Wales,19-25,Underweight,Percentage,1,6655,65
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2019-20,England and Wales,19-25,Healthy weight,Percentage,8.9,6655,590
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2019-20,England and Wales,19-25,Overweight,Percentage,14.8,6655,985
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2019-20,England and Wales,19-25,Obese,Percentage,75.4,6655,5015
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2019-20,England and Wales,19-25,Total,Percentage,100,6655,6655
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2020-21,England and Wales,19-25,Underweight,Percentage,1.2,6075,70
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2020-21,England and Wales,19-25,Healthy weight,Percentage,7.7,6075,465
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2020-21,England and Wales,19-25,Overweight,Percentage,14,6075,850
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2020-21,England and Wales,19-25,Obese,Percentage,77.3,6075,4695
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2020-21,England and Wales,19-25,Total,Percentage,100,6075,6075
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2021-22,England and Wales,19-25,Underweight,Percentage,0.8,6970,55
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2021-22,England and Wales,19-25,Healthy weight,Percentage,8.3,6970,580
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2021-22,England and Wales,19-25,Overweight,Percentage,13.6,6970,950
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2021-22,England and Wales,19-25,Obese,Percentage,77.3,6970,5385
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2021-22,England and Wales,19-25,Total,Percentage,100,6970,6970
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2017-18,England and Wales,26-39,Underweight,Percentage,0.4,82745,305
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2017-18,England and Wales,26-39,Healthy weight,Percentage,6.8,82745,5615
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2017-18,England and Wales,26-39,Overweight,Percentage,21.1,82745,17460
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2017-18,England and Wales,26-39,Obese,Percentage,71.7,82745,59360
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2017-18,England and Wales,26-39,Total,Percentage,100,82745,82745
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2018-19,England and Wales,26-39,Underweight,Percentage,0.4,88960,320
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2018-19,England and Wales,26-39,Healthy weight,Percentage,6.6,88960,5890
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2018-19,England and Wales,26-39,Overweight,Percentage,20.9,88960,18590
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2018-19,England and Wales,26-39,Obese,Percentage,72.1,88960,64155
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2018-19,England and Wales,26-39,Total,Percentage,100,88960,88960
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2019-20,England and Wales,26-39,Underweight,Percentage,0.4,93755,350
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2019-20,England and Wales,26-39,Healthy weight,Percentage,6.3,93755,5900
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2019-20,England and Wales,26-39,Overweight,Percentage,20.3,93755,19020
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2019-20,England and Wales,26-39,Obese,Percentage,73.1,93755,68490
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2019-20,England and Wales,26-39,Total,Percentage,100,93755,93755
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2020-21,England and Wales,26-39,Underweight,Percentage,0.3,83290,285
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2020-21,England and Wales,26-39,Healthy weight,Percentage,5.9,83290,4920
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2020-21,England and Wales,26-39,Overweight,Percentage,19.2,83290,16030
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2020-21,England and Wales,26-39,Obese,Percentage,74.5,83290,62055
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2020-21,England and Wales,26-39,Total,Percentage,100,83290,83290
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2021-22,England and Wales,26-39,Underweight,Percentage,0.4,95155,345
Characteristics and trends,Figure 5,Percentage of people with type 2 diabetes by age group and body mass index,2021-22,England and Wales,26-39,Healthy weight,Percentage,5.8,95155,5535
